,Products_with_common_ingredient,The_common_ingredients
45,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'trisodium edta', 'benzyl alcohol', 'aqua', 'bht'}"
46,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria')","{'trisodium edta', 'persea gratissima oil', 'parfum', 'bht'}"
47,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria')","{'cetearyl alcohol', 'aqua', 'glycerin', 'tocopheryl acetate', 'parfum'}"
48,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'aqua', 'parfum'}"
49,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'panthenol', 'cetearyl alcohol', 'bht', 'sodium ascorbyl phosphate', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'glyceryl stearate', 'phenoxyethanol'}"
50,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'bht', 'dicaprylyl ether', 'prunus amygdalus dulcis oil', 'macadamia integrifolia seed oil', 'retinyl palmitate', 'citric acid', 'olea europaea fruit oil', 'phenoxyethanol', 'glyceryl stearate se', 'tacopherol', 'sodium cetearyl sulphate', 'cetearyl alcohol', 'ricinus communis seed oil', 'persea gratissima oil', 'aqua', 'lactic acid', 'glycerin', 'trisodium edta', 'glycine soja oil', 'niacinamide', 'potassium lactate', 'panthenol', 'liquidum', 'pantolactone', 'propyl gallate', 'cera microcristalli-na', 'parfum', 'paraffinum', 'sodium ascorbyl phosphate', 'caprylic/capric triglycride', 'ethylhexyglycerin', 'tocopheryl acetate', 'glyceryl stearate', 'starch phosphate', 'hydroxypropyl', 'isopropyl palmitate'}"
51,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'persea gratissima oil', 'parfum', 'isopropyl palmitate'}"
52,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'aqua', 'glycerin', 'tocopheryl acetate', 'glyceryl stearate', 'phenoxyethanol', 'parfum'}"
53,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'glycerin', 'citric acid'}"
54,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'ricinus communis seed oil', 'persea gratissima oil', 'aqua'}"
